Unnamed: 0,Rk,Pk,Tm,Player,College,Yrs,G,TOTMP,TOTPTS,TOTTRB,TOTAST,FG%,3P%,FT%,WS,WS/48,BPM,VORP,DraftYr,MPG,PPG,RPG,APG,playerurl,DraftYear,WS_per_Yr,Success,College_PPG,College_RPG,College_APG,College_FG%,College_3P%,College_FT%,College_MPG,College_STL,College_BLK,College_TOV
209,47,47,SAS,Chris Whitney,Clemson,11.0,579.0,10052.0,3738.0,815.0,1613.0,0.395,0.361,0.875,21.2,0.101,-0.2,4.6,1993,17.4,6.5,1.4,2.8,https://www.sports-reference.com/cbb/players/chris-whitney-1.html,1993,1.9272727272727272,1,14.6,3.7,6.1,0.427,0.413,0.788,36.3,2.0,0.0,3.5
210,48,48,POR,Kevin Thompson,NC State,1.0,14.0,58.0,13.0,13.0,3.0,0.429,0.0,0.5,0.0,-0.016,-8.1,-0.1,1993,4.1,0.9,0.9,0.2,https://www.sports-reference.com/cbb/players/kevin-thompson-1.html,1993,0.0,0,10.6,6.9,1.4,0.588,0.143,0.563,27.8,0.5,1.3,1.4
211,49,49,PHO,Mark Buford,Mississippi Valley State University,,,,,,,,,,,,,,1993,,,,,https://www.sports-reference.com/cbb/players/mark-buford-1.html,1993,0.0,0,7.2,5.6,0.1,0.449,0.0,0.555,20.7,0.7,0.6,1.3
213,51,51,IND,Spencer Dunkley,University of Delaware,,,,,,,,,,,,,,1993,,,,,https://www.sports-reference.com/cbb/players/spencer-dunkley-1.html,1993,0.0,0,10.5,8.3,0.7,0.502,,0.668,25.1,1.1,1.8,1.9
214,52,52,SAC,Mike Peplowski,Michigan State,3.0,68.0,705.0,194.0,176.0,26.0,0.556,0.0,0.531,1.0,0.067,-4.5,-0.4,1993,10.4,2.9,2.6,0.4,https://www.sports-reference.com/cbb/players/mike-peplowski-1.html,1993,0.3333333333333333,0,10.2,7.8,0.9,0.621,0.0,0.67,24.8,0.3,0.6,1.5
215,53,53,LAC,Leonard White,Southern University and A&M College,,,,,,,,,,,,,,1993,,,,,https://www.sports-reference.com/cbb/players/leonard-white-1.html,1993,0.0,0,21.5,11.2,1.9,0.466,0.388,0.712,33.6,2.8,1.0,3.2
216,54,54,PHO,Byron Wilson,Utah,,,,,,,,,,,,,,1993,,,,,https://www.sports-reference.com/cbb/players/byron-wilson-1.html,1993,0.0,0,6.1,4.3,0.7,0.438,0.0,0.733,20.9,0.6,1.2,
217,1,1,MIL,Glenn Robinson,Purdue,11.0,688.0,25346.0,14234.0,4189.0,1879.0,0.459,0.34,0.82,39.8,0.075,0.1,13.5,1994,36.8,20.7,6.1,2.7,https://www.sports-reference.com/cbb/players/glenn-robinson-1.html,1994,3.6181818181818177,1,27.5,9.7,1.9,0.479,0.385,0.773,35.1,1.8,1.0,3.9
218,2,2,DAL,Jason Kidd,California,19.0,1391.0,50111.0,17529.0,8725.0,12091.0,0.4,0.349,0.785,138.6,0.133,3.8,73.5,1994,36.0,12.6,6.3,8.7,https://www.sports-reference.com/cbb/players/jason-kidd-1.html,1994,7.294736842105263,1,14.9,5.9,8.4,0.468,0.333,0.677,33.5,3.5,0.3,4.1
219,3,3,DET,Grant Hill,Duke,18.0,1026.0,34776.0,17137.0,6169.0,4252.0,0.483,0.314,0.769,99.9,0.138,3.0,43.6,1994,33.9,16.7,6.0,4.1,https://www.sports-reference.com/cbb/players/grant-hill-1.html,1994,5.550000000000001,1,14.9,6.0,3.6,0.532,0.376,0.698,30.4,1.7,1.0,2.5
220,4,4,MIN,Donyell Marshall,UConn,15.0,957.0,25027.0,10716.0,6376.0,1305.0,0.435,0.35,0.731,59.0,0.113,1.1,19.9,1994,26.2,11.2,6.7,1.4,https://www.sports-reference.com/cbb/players/donyell-marshall-1.html,1994,3.933333333333333,1,18.1,7.6,1.4,0.487,0.306,0.77,31.0,1.2,2.7,2.6
221,5,5,WAS,Juwan Howard,Michigan,19.0,1208.0,36654.0,16159.0,7428.0,2663.0,0.469,0.12,0.764,59.4,0.078,-1.6,3.8,1994,30.3,13.4,6.1,2.2,https://www.sports-reference.com/cbb/players/juwan-howard-1.html,1994,3.126315789473684,1,15.3,7.5,2.0,0.51,0.091,0.688,31.4,0.8,0.6,2.7
222,6,6,PHI,Sharone Wright,Clemson,4.0,203.0,4531.0,1974.0,1023.0,118.0,0.456,0.083,0.618,1.4,0.015,-4.8,-3.2,1994,22.3,9.7,5.0,0.6,https://www.sports-reference.com/cbb/players/sharone-wright-1.html,1994,0.35,0,14.2,9.8,0.8,0.531,0.0,0.632,29.2,0.8,3.1,2.5
223,7,7,LAC,Lamond Murray,California,11.0,736.0,18477.0,8286.0,3033.0,978.0,0.43,0.36,0.759,19.8,0.052,-1.2,4.0,1994,25.1,11.3,4.1,1.3,https://www.sports-reference.com/cbb/players/lamond-murray-1.html,1994,1.8,1,19.2,6.8,1.8,0.489,0.337,0.713,30.6,1.3,0.9,2.6
224,8,8,SAC,Brian Grant,Xavier,12.0,756.0,21417.0,7933.0,5622.0,923.0,0.49,0.214,0.746,54.5,0.122,-0.8,6.2,1994,28.3,10.5,7.4,1.2,https://www.sports-reference.com/cbb/players/brian-grant-1.html,1994,4.541666666666667,1,14.7,9.2,1.2,0.594,0.333,0.676,29.9,0.8,1.1,2.3
225,9,9,BOS,Eric Montross,UNC,8.0,465.0,8479.0,2071.0,2159.0,207.0,0.49,0.0,0.478,8.5,0.048,-4.4,-5.2,1994,18.2,4.5,4.6,0.4,https://www.sports-reference.com/cbb/players/eric-montross-1.html,1994,1.0625,1,11.7,6.8,0.6,0.585,,0.624,25.2,0.5,1.2,1.5
226,10,10,LAL,Eddie Jones,Temple,14.0,954.0,32778.0,14155.0,3857.0,2812.0,0.437,0.373,0.809,100.6,0.147,3.1,42.3,1994,34.4,14.8,4.0,2.9,https://www.sports-reference.com/cbb/players/eddie-jones-1.html,1994,7.185714285714285,1,16.0,6.1,1.6,0.458,0.35,0.614,33.8,2.1,1.2,1.5
227,11,11,OKC,Carlos Rogers,Tennessee State,8.0,298.0,5654.0,2196.0,1272.0,182.0,0.536,0.258,0.562,11.1,0.095,-1.0,1.5,1994,19.0,7.4,4.3,0.6,https://www.sports-reference.com/cbb/players/carlos-rogers-1.html,1994,1.3875,1,19.1,10.5,1.3,0.603,0.25,0.629,29.9,0.6,2.8,2.7
228,12,12,MIA,Khalid Reeves,Arizona,6.0,277.0,5837.0,2167.0,580.0,886.0,0.416,0.363,0.744,8.4,0.069,-1.3,1.0,1994,21.1,7.8,2.1,3.2,https://www.sports-reference.com/cbb/players/khalid-reeves-1.html,1994,1.4,1,15.0,3.3,3.1,0.479,0.38,0.763,26.9,1.5,0.1,2.2
229,13,13,DEN,Jalen Rose,Michigan,13.0,923.0,27925.0,13220.0,3193.0,3527.0,0.443,0.355,0.801,47.2,0.081,-0.2,12.3,1994,30.3,14.3,3.5,3.8,https://www.sports-reference.com/cbb/players/jalen-rose-1.html,1994,3.630769230769231,1,17.5,4.7,3.9,0.464,0.336,0.738,34.4,1.2,0.3,3.1
230,14,14,BRK,Yinka Dare,George Washington,4.0,110.0,1002.0,233.0,281.0,4.0,0.396,,0.57,-0.7,-0.033,-8.4,-1.6,1994,9.1,2.1,2.6,0.0,https://www.sports-reference.com/cbb/players/yinka-dare-1.html,1994,-0.175,0,13.8,10.3,0.4,0.544,,0.529,28.7,0.6,2.3,2.3
231,15,15,IND,Eric Piatkowski,Nebraska,14.0,789.0,14613.0,5919.0,1716.0,778.0,0.434,0.399,0.839,31.0,0.102,0.2,7.9,1994,18.5,7.5,2.2,1.0,https://www.sports-reference.com/cbb/players/eric-piatkowski-1.html,1994,2.2142857142857144,1,15.7,5.4,2.6,0.471,0.358,0.777,27.8,1.0,0.5,2.1
232,16,16,GSW,Clifford Rozier,Louisville,4.0,173.0,2984.0,827.0,897.0,98.0,0.496,0.182,0.465,3.9,0.063,-3.5,-1.1,1994,17.2,4.8,5.2,0.6,https://www.sports-reference.com/cbb/players/clifford-rozier-1.html,1994,0.975,0,12.8,8.2,1.3,0.573,0.0,0.557,24.0,0.8,1.4,2.3
233,17,17,POR,Aaron McKie,Temple,13.0,793.0,19156.0,5871.0,2587.0,2126.0,0.438,0.35,0.779,40.0,0.1,0.7,12.9,1994,24.2,7.4,3.3,2.7,https://www.sports-reference.com/cbb/players/aaron-mckie-1.html,1994,3.076923076923077,1,17.9,6.4,3.3,0.421,0.366,0.79,38.0,2.1,0.3,1.9
234,18,18,MIL,Eric Mobley,Pitt,3.0,113.0,1570.0,440.0,351.0,57.0,0.541,0.75,0.475,1.1,0.034,-4.3,-0.9,1994,13.9,3.9,3.1,0.5,https://www.sports-reference.com/cbb/players/eric-mobley-1.html,1994,0.3666666666666667,0,10.2,6.8,1.4,0.557,,0.486,23.8,0.5,2.1,2.0
235,19,19,DAL,Tony Dumas,Missouri-Kansas City,4.0,156.0,2222.0,1140.0,198.0,186.0,0.404,0.327,0.608,1.3,0.027,-3.3,-0.7,1994,14.2,7.3,1.3,1.2,https://www.sports-reference.com/cbb/players/tony-dumas-1.html,1994,0.325,0,22.0,5.1,3.1,0.477,0.37,0.753,35.7,1.3,0.4,3.3
237,21,21,CHI,Dickey Simpkins,Providence,7.0,327.0,5201.0,1388.0,1187.0,305.0,0.44,0.222,0.618,4.7,0.044,-4.5,-3.3,1994,15.9,4.2,3.6,0.9,https://www.sports-reference.com/cbb/players/dickey-simpkins-1.html,1994,0.6714285714285715,0,9.8,6.3,1.2,0.486,0.346,0.646,26.7,0.7,0.8,2.1
238,22,22,SAS,Bill Curley,Boston College,5.0,147.0,1614.0,394.0,290.0,60.0,0.444,0.222,0.743,1.6,0.047,-5.3,-1.3,1994,11.0,2.7,2.0,0.4,https://www.sports-reference.com/cbb/players/bill-curley-1.html,1994,0.32,0,16.7,7.9,1.3,0.565,0.0,0.78,32.7,1.0,0.7,2.4
239,23,23,PHO,Wesley Person,Auburn,11.0,733.0,20727.0,8192.0,2402.0,1234.0,0.457,0.418,0.778,44.0,0.102,0.9,15.2,1994,28.3,11.2,3.3,1.7,https://www.sports-reference.com/cbb/players/wesley-person-1.html,1994,4.0,1,19.1,6.5,2.6,0.504,0.441,0.747,35.0,1.0,0.8,2.4
240,24,24,NYK,Monty Williams,Notre Dame,9.0,456.0,7624.0,2884.0,1296.0,544.0,0.481,0.111,0.665,11.4,0.072,-1.8,0.3,1994,16.7,6.3,2.8,1.2,https://www.sports-reference.com/cbb/players/monty-williams-1.html,1994,1.2666666666666666,1,16.1,7.0,1.6,0.487,0.364,0.738,29.8,1.0,0.6,2.8
241,25,25,LAC,Greg Minor,Louisville,5.0,277.0,5144.0,1902.0,741.0,384.0,0.478,0.226,0.767,8.2,0.077,-1.5,0.7,1994,18.6,6.9,2.7,1.4,https://www.sports-reference.com/cbb/players/greg-minor-1.html,1994,1.64,1,12.6,5.6,2.4,0.507,0.363,0.739,32.0,1.3,0.3,1.5
242,26,26,NYK,Charlie Ward,Florida State,11.0,630.0,14080.0,3947.0,1648.0,2539.0,0.408,0.364,0.771,33.0,0.113,2.1,14.5,1994,22.3,6.3,2.6,4.0,https://www.sports-reference.com/cbb/players/charlie-ward-1.html,1994,3.0,1,8.1,3.1,4.4,0.441,0.323,0.636,29.5,2.6,0.2,2.3
243,27,27,ORL,Brooks Thompson,Oklahoma State,4.0,168.0,1714.0,760.0,158.0,281.0,0.409,0.376,0.647,2.0,0.057,-1.5,0.2,1994,10.2,4.5,0.9,1.7,https://www.sports-reference.com/cbb/players/brooks-thompson-1.html,1994,0.5,0,13.6,3.4,4.7,0.441,0.4,0.753,30.4,2.2,0.1,3.0
244,28,28,DAL,Deon Thomas,Illinois,,,,,,,,,,,,,,1994,,,,,https://www.sports-reference.com/cbb/players/deon-thomas-1.html,1994,0.0,0,18.0,7.2,1.0,0.601,0.5,0.661,32.2,0.6,1.5,2.1
245,29,29,PHO,Antonio Lang,Duke,6.0,143.0,1395.0,329.0,210.0,50.0,0.455,0.0,0.719,1.7,0.057,-3.8,-0.6,1994,9.8,2.3,1.5,0.3,https://www.sports-reference.com/cbb/players/antonio-lang-1.html,1994,0.2833333333333333,0,7.5,4.3,0.7,0.57,0.0,0.659,22.4,0.5,0.8,1.5
246,30,30,MIN,Howard Eisley,Boston College,12.0,786.0,16013.0,5116.0,1324.0,2748.0,0.407,0.35,0.827,19.5,0.058,-1.7,1.3,1994,20.4,6.5,1.7,3.5,https://www.sports-reference.com/cbb/players/howard-eisley-1.html,1994,1.625,1,12.9,3.3,4.3,0.444,0.447,0.784,35.3,1.5,0.1,2.9
247,31,31,ORL,Rodney Dent,Kentucky,,,,,,,,,,,,,,1994,,,,,https://www.sports-reference.com/cbb/players/rodney-dent-1.html,1994,0.0,0,7.4,5.2,0.4,0.608,,0.541,18.2,0.5,1.2,1.3
248,32,32,WAS,Jim McIlvaine,Marquette,7.0,401.0,5927.0,1072.0,1243.0,105.0,0.446,0.1,0.551,9.4,0.076,-2.2,-0.3,1994,14.8,2.7,3.1,0.3,https://www.sports-reference.com/cbb/players/jim-mcilvaine-1.html,1994,1.342857142857143,1,10.8,5.7,0.8,0.552,,0.687,23.0,0.2,3.4,1.6
249,33,33,PHI,Derrick Alston,Duquesne,3.0,139.0,2657.0,751.0,525.0,94.0,0.489,0.143,0.487,2.6,0.047,-2.8,-0.5,1994,19.1,5.4,3.8,0.7,https://www.sports-reference.com/cbb/players/derrick-alston-1.html,1994,0.8666666666666667,0,16.7,7.7,1.3,0.561,0.333,0.576,33.0,1.2,2.0,3.0
250,34,34,ATL,Gaylon Nickerson,Northwestern Oklahoma State University,1.0,4.0,42.0,15.0,5.0,1.0,0.333,0.0,1.0,0.1,0.076,-1.2,0.0,1994,10.5,3.8,1.3,0.3,https://www.sports-reference.com/cbb/players/gaylon-nickerson-1.html,1994,0.1,0,9.8,4.6,2.6,0.419,0.283,0.638,25.6,1.3,0.3,2.2
251,35,35,SAC,Michael Smith,Providence,7.0,449.0,10552.0,2527.0,3193.0,661.0,0.538,0.143,0.529,23.4,0.107,-0.1,5.1,1994,23.5,5.6,7.1,1.5,https://www.sports-reference.com/cbb/players/michael-smith-1.html,1994,3.3428571428571425,1,19.0,7.6,2.6,0.507,0.43,0.878,31.8,0.6,0.2,2.9
253,37,37,OKC,Dontonio Wingfield,Cincinnati,4.0,114.0,1146.0,423.0,275.0,76.0,0.389,0.309,0.721,1.8,0.074,-2.6,-0.2,1994,10.1,3.7,2.4,0.7,https://www.sports-reference.com/cbb/players/dontonio-wingfield-1.html,1994,0.45,0,16.0,9.0,2.0,0.422,0.404,0.669,28.8,1.3,0.4,2.8
254,38,38,CHA,Darrin Hancock,Kansas,3.0,133.0,1395.0,467.0,169.0,89.0,0.53,0.333,0.579,1.1,0.038,-3.3,-0.5,1994,10.5,3.5,1.3,0.7,https://www.sports-reference.com/cbb/players/darrin-hancock-1.html,1994,0.3666666666666667,0,7.5,4.5,1.4,0.542,0.0,0.658,20.7,1.2,0.2,1.2
255,39,39,GSW,Anthony Miller,Michigan State,8.0,181.0,1637.0,510.0,488.0,66.0,0.51,0.25,0.576,3.8,0.11,-2.6,-0.2,1994,9.0,2.8,2.7,0.4,https://www.sports-reference.com/cbb/players/anthony-miller-1.html,1994,0.475,0,9.0,6.5,0.7,0.609,0.5,0.583,21.8,0.6,0.7,1.7
256,40,40,MIA,Jeff Webster,Oklahoma,1.0,11.0,58.0,18.0,7.0,3.0,0.348,0.333,,0.0,-0.03,-4.9,0.0,1994,5.3,1.6,0.6,0.3,https://www.sports-reference.com/cbb/players/jeff-webster-1.html,1994,0.0,0,17.8,6.2,0.5,0.523,0.25,0.778,28.7,0.7,0.6,1.8
258,42,42,CLE,Gary Collier,Tulsa,,,,,,,,,,,,,,1994,,,,,https://www.sports-reference.com/cbb/players/gary-collier-1.html,1994,0.0,0,13.9,5.1,1.3,0.509,0.44,0.755,27.5,0.8,0.1,1.3
259,43,43,POR,Shawnelle Scott,St. John's,4.0,105.0,634.0,189.0,228.0,20.0,0.464,,0.465,1.3,0.101,-3.8,-0.3,1994,6.0,1.8,2.2,0.2,https://www.sports-reference.com/cbb/players/shawnelle-scott-1.html,1994,0.325,0,10.5,6.5,0.8,0.537,0.0,0.562,25.0,0.9,0.6,1.4
260,44,44,IND,Damon Bailey,Indiana,,,,,,,,,,,,,,1994,,,,,https://www.sports-reference.com/cbb/players/damon-bailey-1.html,1994,0.0,0,13.2,3.5,3.6,0.485,0.437,0.754,28.4,1.0,0.2,2.2
261,45,45,GSW,Dwayne Morton,Louisville,1.0,41.0,395.0,167.0,58.0,18.0,0.388,0.36,0.682,0.2,0.025,-3.5,-0.1,1994,9.6,4.1,1.4,0.4,https://www.sports-reference.com/cbb/players/dwayne-morton-1.html,1994,0.2,0,15.0,4.2,1.9,0.524,0.461,0.711,29.6,1.2,0.8,2.1
262,46,46,MIL,Voshon Lenard,Minnesota,11.0,565.0,15349.0,6745.0,1609.0,1180.0,0.415,0.384,0.787,29.6,0.093,0.0,7.9,1994,27.2,11.9,2.8,2.1,https://www.sports-reference.com/cbb/players/voshon-lenard-1.html,1994,2.690909090909091,1,16.6,3.8,2.5,0.448,0.366,0.802,29.7,1.4,0.3,1.9
263,47,47,UTA,Jamie Watson,South Carolina,4.0,102.0,1248.0,323.0,149.0,117.0,0.468,0.316,0.694,1.2,0.045,-1.5,0.2,1994,12.2,3.2,1.5,1.1,https://www.sports-reference.com/cbb/players/jamie-watson-1.html,1994,0.3,0,11.3,4.7,2.6,0.45,0.248,0.63,28.8,1.3,0.5,2.1
264,48,48,DET,Jevon Crudup,Missouri,,,,,,,,,,,,,,1994,,,,,https://www.sports-reference.com/cbb/players/jevon-crudup-1.html,1994,0.0,0,13.7,8.0,1.4,0.502,0.278,0.607,31.4,1.4,1.1,2.2
266,50,50,PHO,Charles Claxton,Georgia,1.0,3.0,7.0,2.0,2.0,0.0,0.5,,0.0,0.0,-0.179,-18.9,0.0,1994,2.3,0.7,0.7,0.0,https://www.sports-reference.com/cbb/players/charles-claxton-1.html,1994,0.0,0,11.0,7.2,0.5,0.542,0.3,0.493,23.9,0.6,2.1,1.9
267,51,51,SAC,Lawrence Funderburke,Ohio State,7.0,318.0,4726.0,2031.0,1142.0,183.0,0.506,0.118,0.675,12.9,0.131,-0.5,1.8,1994,14.9,6.4,3.6,0.6,https://www.sports-reference.com/cbb/players/lawrence-funderburke-1.html,1994,1.842857142857143,1,14.5,6.6,1.0,0.538,0.3,0.613,29.5,0.6,1.6,1.8
268,52,52,PHO,Anthony Goldwire,Houston,8.0,266.0,4951.0,1667.0,359.0,737.0,0.407,0.386,0.792,6.4,0.062,-1.8,0.3,1994,18.6,6.3,1.3,2.8,https://www.sports-reference.com/cbb/players/anthony-goldwire-1.html,1994,0.8,0,15.6,3.4,5.9,0.417,0.294,0.796,36.9,2.0,0.1,3.5
269,53,53,HOU,Albert Burditt,Texas,,,,,,,,,,,,,,1994,,,,,https://www.sports-reference.com/cbb/players/albert-burditt-1.html,1994,0.0,0,9.4,7.0,0.9,0.564,0.0,0.607,27.3,1.5,2.1,1.2
271,1,1,GSW,Joe Smith,Maryland,16.0,1030.0,27022.0,11208.0,6575.0,1010.0,0.455,0.238,0.79,60.3,0.107,-1.5,3.0,1995,26.2,10.9,6.4,1.0,https://www.sports-reference.com/cbb/players/joe-smith-1.html,1995,3.76875,1,20.2,10.7,1.0,0.551,0.423,0.738,32.8,1.5,3.0,2.0
272,2,2,LAC,Antonio McDyess,Alabama,15.0,1015.0,28053.0,12227.0,7638.0,1300.0,0.497,0.117,0.67,69.8,0.119,-0.1,13.2,1995,27.6,12.0,7.5,1.3,https://www.sports-reference.com/cbb/players/antonio-mcdyess-1.html,1995,4.653333333333333,1,12.8,9.3,0.5,0.533,0.0,0.625,25.1,1.0,1.8,2.2
273,3,3,PHI,Jerry Stackhouse,UNC,18.0,970.0,30222.0,16409.0,3067.0,3240.0,0.409,0.309,0.822,52.4,0.083,0.3,17.4,1995,31.2,16.9,3.2,3.3,https://www.sports-reference.com/cbb/players/jerry-stackhouse-1.html,1995,2.911111111111111,1,15.7,6.6,2.3,0.496,0.355,0.72,27.6,1.3,1.1,2.9
274,4,4,WAS,Rasheed Wallace,UNC,16.0,1109.0,36243.0,16006.0,7404.0,1994.0,0.467,0.336,0.721,105.1,0.139,2.2,38.3,1995,32.7,14.4,6.7,1.8,https://www.sports-reference.com/cbb/players/rasheed-wallace-1.html,1995,6.56875,1,13.0,7.4,0.8,0.635,0.25,0.621,25.5,0.6,2.3,1.5
276,6,6,MEM,Bryant Reeves,Oklahoma State,6.0,395.0,12071.0,4945.0,2745.0,623.0,0.475,0.074,0.703,13.0,0.052,-3.4,-4.3,1995,30.6,12.5,6.9,1.6,https://www.sports-reference.com/cbb/players/bryant-reeves-1.html,1995,2.1666666666666665,1,17.4,8.5,1.0,0.585,0.125,0.648,30.6,0.5,1.4,2.4
277,7,7,TOR,Damon Stoudamire,Arizona,13.0,878.0,29106.0,11763.0,3039.0,5371.0,0.406,0.357,0.833,55.4,0.091,0.3,16.8,1995,33.2,13.4,3.5,6.1,https://www.sports-reference.com/cbb/players/damon-stoudamire-1.html,1995,4.2615384615384615,1,15.0,3.8,5.4,0.457,0.402,0.804,29.8,1.4,0.1,3.1
278,8,8,POR,Shawn Respert,Michigan State,4.0,172.0,2350.0,851.0,226.0,177.0,0.414,0.34,0.816,2.1,0.043,-2.3,-0.2,1995,13.7,4.9,1.3,1.0,https://www.sports-reference.com/cbb/players/shawn-respert-1.html,1995,0.525,0,21.3,3.5,2.5,0.484,0.454,0.857,33.0,1.2,0.1,2.9
280,10,10,MIA,Kurt Thomas,TCU,18.0,1110.0,27160.0,8973.0,7328.0,1204.0,0.486,0.281,0.76,64.2,0.114,-0.8,8.6,1995,24.5,8.1,6.6,1.1,https://www.sports-reference.com/cbb/players/kurt-thomas-1.html,1995,3.566666666666667,1,17.4,9.0,1.2,0.524,0.25,0.682,23.7,1.0,1.9,2.2
281,11,11,MIL,Gary Trent,Ohio University,9.0,506.0,9866.0,4366.0,2276.0,504.0,0.501,0.08,0.643,23.2,0.113,-1.0,2.4,1995,19.5,8.6,4.5,1.0,https://www.sports-reference.com/cbb/players/gary-trent-1.html,1995,2.5777777777777775,1,22.7,11.3,2.0,0.573,0.246,0.687,34.8,0.6,1.1,3.3
282,12,12,DAL,Cherokee Parks,Duke,9.0,472.0,7459.0,2056.0,1703.0,265.0,0.47,0.211,0.63,11.8,0.076,-2.4,-0.7,1995,15.8,4.4,3.6,0.6,https://www.sports-reference.com/cbb/players/cherokee-parks-1.html,1995,1.3111111111111111,1,12.5,6.7,0.8,0.551,0.333,0.755,26.4,0.7,1.8,1.6
283,13,13,SAC,Corliss Williamson,Arkansas,12.0,822.0,18749.0,9147.0,3183.0,972.0,0.49,0.136,0.714,34.7,0.089,-2.0,-0.1,1995,22.8,11.1,3.9,1.2,https://www.sports-reference.com/cbb/players/corliss-williamson-1.html,1995,2.891666666666667,1,19.0,7.1,2.1,0.583,0.167,0.672,29.1,1.2,1.0,2.4
284,14,14,BOS,Eric Williams,Providence,12.0,658.0,15731.0,5642.0,2139.0,936.0,0.415,0.318,0.736,23.2,0.071,-2.4,-1.5,1995,23.9,8.6,3.3,1.4,https://www.sports-reference.com/cbb/players/eric-williams-1.html,1995,1.9333333333333331,1,16.7,5.9,1.9,0.453,0.349,0.673,30.4,1.6,1.1,2.2
285,15,15,DEN,Brent Barry,Oregon State,14.0,912.0,23643.0,8488.0,2780.0,2892.0,0.46,0.405,0.823,70.5,0.143,2.6,27.7,1995,25.9,9.3,3.0,3.2,https://www.sports-reference.com/cbb/players/brent-barry-1.html,1995,5.035714285714286,1,12.1,3.7,3.3,0.48,0.345,0.794,28.9,1.8,0.6,2.9
286,16,16,ATL,Alan Henderson,Indiana,12.0,652.0,13780.0,5094.0,3249.0,397.0,0.469,0.192,0.639,28.0,0.097,-1.8,0.6,1995,21.1,7.8,5.0,0.6,https://www.sports-reference.com/cbb/players/alan-henderson-1.html,1995,2.3333333333333335,1,16.0,8.8,1.1,0.54,0.231,0.646,29.0,1.2,1.7,1.8
287,17,17,CLE,Bob Sura,Florida State,10.0,657.0,15597.0,5654.0,2240.0,2474.0,0.414,0.325,0.689,28.3,0.087,0.4,9.4,1995,23.7,8.6,3.4,3.8,https://www.sports-reference.com/cbb/players/bob-sura-1.html,1995,2.83,1,17.9,6.0,3.7,0.45,0.336,0.652,33.6,1.8,0.3,3.4
288,18,18,DET,Theo Ratliff,Wyoming,16.0,810.0,20500.0,5809.0,4596.0,465.0,0.496,0.0,0.71,47.9,0.112,0.0,10.3,1995,25.3,7.2,5.7,0.6,https://www.sports-reference.com/cbb/players/theo-ratliff-1.html,1995,2.99375,1,10.3,5.9,0.7,0.547,0.143,0.608,26.4,0.6,3.8,1.9
289,19,19,DET,Randolph Childress,Wake Forest,2.0,51.0,405.0,124.0,25.0,49.0,0.328,0.273,0.8,-0.2,-0.026,-5.7,-0.4,1995,7.9,2.4,0.5,1.0,https://www.sports-reference.com/cbb/players/randolph-childress-1.html,1995,-0.1,0,18.4,3.0,3.9,0.446,0.395,0.804,33.1,1.5,0.2,3.2
290,20,20,CHI,Jason Caffey,Alabama,8.0,462.0,9045.0,3368.0,2022.0,420.0,0.481,0.0,0.637,13.5,0.072,-3.6,-3.6,1995,19.6,7.3,4.4,0.9,https://www.sports-reference.com/cbb/players/jason-caffey-1.html,1995,1.6875,1,10.4,6.3,1.0,0.509,0.222,0.578,24.3,0.6,0.6,2.4
291,21,21,PHO,Michael Finley,Wisconsin,15.0,1103.0,37996.0,17306.0,4804.0,3245.0,0.444,0.375,0.811,85.2,0.108,1.0,28.8,1995,34.4,15.7,4.4,2.9,https://www.sports-reference.com/cbb/players/michael-finley-1.html,1995,5.680000000000001,1,18.7,5.6,3.2,0.44,0.338,0.769,34.3,1.5,0.7,2.8
293,23,23,IND,Travis Best,Georgia Tech,10.0,708.0,15150.0,5376.0,1249.0,2444.0,0.431,0.345,0.835,30.9,0.098,-0.4,6.0,1995,21.4,7.6,1.8,3.5,https://www.sports-reference.com/cbb/players/travis-best-1.html,1995,3.09,1,16.6,3.1,5.6,0.456,0.393,0.809,36.3,1.8,0.1,2.6
294,24,24,DAL,Loren Meyer,Iowa State,3.0,140.0,2044.0,645.0,480.0,77.0,0.432,0.348,0.696,0.5,0.012,-7.2,-2.7,1995,14.6,4.6,3.4,0.6,https://www.sports-reference.com/cbb/players/loren-meyer-1.html,1995,0.1666666666666666,0,11.5,6.1,1.1,0.556,0.214,0.713,22.4,0.5,1.2,1.8
295,25,25,ORL,David Vaughn,Memphis,4.0,118.0,1156.0,341.0,361.0,36.0,0.423,0.0,0.638,0.6,0.026,-6.4,-1.3,1995,9.8,2.9,3.1,0.3,https://www.sports-reference.com/cbb/players/david-vaughn-1.html,1995,0.15,0,14.2,9.8,0.9,0.486,0.333,0.749,30.6,0.9,2.6,2.8
296,26,26,OKC,Sherell Ford,University of Illinois at Chicago,1.0,28.0,139.0,90.0,24.0,5.0,0.375,0.16,0.765,0.4,0.124,-5.2,-0.1,1995,5.0,3.2,0.9,0.2,https://www.sports-reference.com/cbb/players/sherell-ford-1.html,1995,0.4,0,22.9,9.2,1.3,0.482,0.347,0.704,34.2,1.7,1.9,2.7
297,27,27,PHO,Mario Bennett,Arizona State,4.0,68.0,606.0,269.0,182.0,24.0,0.534,0.333,0.511,1.9,0.153,-0.8,0.2,1995,8.9,4.0,2.7,0.4,https://www.sports-reference.com/cbb/players/mario-bennett-1.html,1995,0.475,0,15.7,7.8,1.6,0.587,0.294,0.53,31.3,1.1,2.2,2.8
